[WARN ] 2015-11-24 21:34:42,489 razborpoletov.reader.parsers.StatisticParser - Podcast  has no mp3 file link
[INFO ] 2015-11-24 21:42:32,475 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-02-08-episode-77.adoc has no audio tag
[INFO ] 2015-11-24 21:42:32,616 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-02-08-episode-77.adoc has no audio tag
[WARN ] 2015-11-24 21:42:32,617 razborpoletov.reader.parsers.StatisticParser - Podcast  has no mp3 file link
[INFO ] 2015-11-24 21:44:52,446 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-05-03-episode-83.adoc has no audio tag
[INFO ] 2015-11-24 21:44:52,480 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-05-03-episode-83.adoc has no audio tag
[WARN ] 2015-11-24 21:44:52,480 razborpoletov.reader.parsers.StatisticParser - Podcast  has no mp3 file link
[INFO ] 2015-11-24 21:48:57,000 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-10-27-episode-94.adoc has no audio tag
[INFO ] 2015-11-24 21:48:57,043 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-10-27-episode-94.adoc has no audio tag
[WARN ] 2015-11-24 21:48:57,043 razborpoletov.reader.parsers.StatisticParser - Podcast  has no mp3 file link
[INFO ] 2015-11-24 21:48:57,078 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-10-28-episode-95.adoc has no audio tag
[INFO ] 2015-11-24 21:48:57,119 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-10-28-episode-95.adoc has no audio tag
[WARN ] 2015-11-24 21:48:57,119 razborpoletov.reader.parsers.StatisticParser - Podcast  has no mp3 file link
[INFO ] 2015-11-24 21:58:15,888 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-02-08-episode-77.adoc has no audio tag
[INFO ] 2015-11-24 22:10:06,112 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-02-08-episode-77.adoc has no audio tag
[WARN ] 2015-11-24 22:10:06,112 razborpoletov.reader.parsers.StatisticParser - Podcast  has no mp3 file link
[INFO ] 2015-11-24 22:26:42,183 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-02-08-episode-77.adoc has no audio tag
[WARN ] 2015-11-24 22:26:42,190 razborpoletov.reader.parsers.StatisticParser - Podcast  has no mp3 file link
